Name,Desc,Code,Qty,Cust_Up,Cust_Dwn,Category,Alt,Image,Award,Award_Desc1,Award_Desc2,Gluten ,Place
Wrong Side Of The Road,Signature honey/sriracha sauce,WSR,818,818,0,Remix,Honey Sriracha,http://docs.shopify.com/assets/images/manual/sidebar-contact-image.jpg?1418679443)%20bottom%20center%20no-repeat,Y,2014 National Buffalo Wing Competition,Creative Spicy - 2nd Place,Y,1
Welcome To The Jungle,House-recipe mild buffalo sauce,W2J,716,716,0,Classics,Mild Buffalo,w2j_tile.png,,,,Y,2
Hot For Teacher,House-recipe hot buffalo sauce,H4T,518,518,0,Classics,Hot Buffalo,h4t_tile.png,,,,Y,3
Cowboys From Hell,Signature buff-a-que sauce,C4H,484,484,0,Classics,Buff-a-que,c4h_tile.png,,,,Y,4
Hard To Handle,House-recipe medium buffalo sauce,H2H,413,413,0,Classics,Medium Buffalo,h2h_tile.png,,,,,5
Sweet Child O' Mine,Sweet Thai chili sauce,CHI,407,407,0,Remix,Thai Chili,chi_tile.png,,,,,6
Down On The Farm,Twisted buffalo-ranch sauce,FAR,389,389,0,Remix,Buffalo Ranch,far_tile.png,,,,,7
War Pigs,Traditional General Tso style sauce,PIG,382,382,0,Classics,General Tso,pig_tile.png,,,,,8
Turning Japanese,House teriyaki sauce,JAP,374,374,0,Classics,Teriyaki,jap_tile.png,,,,,9
Mama Mia,Creamy garlic-parmesan sauce,MIA,350,350,0,Classics,Garlic Parmesean,mia_tile.png,,,,,10
"Good Times, Bad Times",Honey buffalo sauce,GXB,342,342,0,What's Hot,Honey Buffalo,gxb_tile.png,,,,,11
Sweet Home Alabama,House barbeque sauce,BAM,334,334,0,Classics,Barbeque,bam_tile.png,,,,,12
Breakfast At Tiffany's,Signature candied maple-bacon sauce,TIF,287,287,0,Sweet Spot,Maple Bacon,tif_tile.png,Y,2014 WHJY Bro-Show,Most Unusual - 1st Place,,13
Melt With You,House-recipe mac & cheese sauce,MEL,271,271,0,Remix,Mac & Cheese,mel_tile.png,,,,,14
Every Breath You Take,Buffalo-garlic sauce,BRE,253,253,0,Classics,Buffalo Garlic,bre_tile.png,,,,,15
She's Got The Jack,Signature whiskey barbeque sauce,JAC,248,248,0,Remix,Whiskey Barbeque,jac_tile.png,,,,,16
Yellow Submarine,House honey mustard sauce,SUB,247,247,0,Classics,Honey Mustard,sub_tile.png,,,,,17
Mr. Roboto,Habenero spiced teriyaki sauce,ROB,218,218,0,What's Hot,Spicy Teriyaki,rob_tile.png,,,,,18
Holy Smoke,Applewood smoked bacon barbeque sauce,SMO,217,217,0,Remix,Bacon Barbeque,smo_tile.png,,,,,19
Dazed & Confused,Bar-b-yaki - House barbeque & teriyaki sauce,DAZ,205,205,0,Remix,Bar-b-yaki,daz_tile.png,,,,,20
Golden Slumbers,"Smoky, Carolina-style barbeque sauce",GOL,198,198,0,Remix,Light Barbeque,gol_tile.png,,,,,21
Pour Some Sugar On Me,Maple-cinnamon sauce,SUG,194,194,0,Sweet Spot,Maple Sugar,sug_tile.png,,,,,22
Gimmie Three Steps,House-recipe bacon-ranch sauce,3ST,182,182,0,Remix,Bacon Ranch,3st_tile.png,,,,,23
Smells Like Teen Spirit,Carolina style sauce drizzled with balsamic reduction,TEE,155,155,0,Remix,Barbeque Balsamic,tee_tile.png,Y,2014 WHJY Bro-Show,Best BBQ - 1st Place,,24
Country Roads,"Spicy, sweet & sour sauce",ROA,154,154,0,What's Hot,Spicy Sweet & Sour,roa_tile.png,,,,,25
The Devil Went Down To Georgia,Signature peach-habenero sauce,DEV,150,150,0,What's Hot,Peach Habenero,dev_tile.png,,,,,26
Hell's Bells,House-recipe ghost pepper buffalo sauce,BEL,149,149,0,What's Hot,Ghost Pepper,bel_tile.png,,,,,27
Blister In The Sun,Carolina style barbeque & hot buffalo sauce,SUN,145,145,0,What's Hot,Buff-a-que,sun_tile.png,,,,,28
Shout At The Devil,House-recipe extra hot sauce,SHO,145,145,0,Classics,Extra Hot Buffalo,sho_tile.png,,,,,29
Redemption Song,Carribbean jerk style sauce,RED,144,144,0,Classics,Carribbean Jerk,red_tile.png,,,,,30
Butterfly,"Rich, garlic-butter sauce",BUT,120,120,0,Classics,Garlic Butter,but_tile.png,,,,,31
The Gambler,"Kicked up, spicy barbeque sauce",GAM,119,119,0,What's Hot,Spicy Barbeque,gam_tile.png,,,,,32
Zombie,Signature cranberry-habenero sauce,ZOM,103,103,0,What's Hot,Cranberry Habenero,zom_tile.png,,,,,33
Strawberry Fields Forever,Signature strawberry teriyaki sauce,STR,102,102,0,Sweet Spot,Strawberry Teriyaki,str_tile.png,,,,,34
Pump Up The Jam,Made-to-order peanut butter & jelly sauce,JAM,99,99,0,Sweet Spot,Peanut Butter & Jelly,jam_tile.png,,,,,35
Sgt. Peppers Lonely Heart's Club Band,"Spicy, mixed pepper sauce",PEP,98,98,0,What's Hot,Pepper Mash,pep_tile.png,,,,,36
Orange Crush,"Asian inspired, orange-garlic sauce",CRU,88,88,0,Remix,Orange Garlic,cru_tile.png,,,,,37
Twist & Shout,Blend of light & dark barbeque sauce,TWI,85,85,0,Remix,Barbeque,twi_tile.png,,,,,38
A New Level,Spicier version of our traditional buff-a-que sauce,LEV,85,85,0,Remix,Buff-a-que,lev_tile.png,,,,,39
Cherry Pie,House-recipe cherry-aki sauce,PIE,75,75,0,Remix,Cherryaki,pie_tile.png,,,,,40
Valarie,Asian style sweet ginger sauce,VAL,74,74,0,Remix,Sweet Ginger,val_tile.png,,,,,41
Dragon Hunter,Balanced schezuan style sauce,DRA,73,73,0,Remix,Schezuan,dra_tile.png,,,,,42
Rock Lobster,House-recipe mozambique sauce,LOB,65,65,0,Remix,Mozambique,lob_tile.png,,,,,43
